query,video_id,published_at,channel_id,title,description,channel_title,video_url,election_panel
le pen,mTK_TGfpKB0,2022-04-10T12:55:19Z,UCfHn_8-ehdem86fEvlFg-Gw,"Présidentielle : Macron, Le Pen, Zemmour, Mélenchon... les 12 candidats ont voté","Citoyens particuliers car candidats à cette présidentielle 2022, tous les candidats qui tentent leur chance pour le 1er tour de ...",Le Parisien,https://www.youtube.com/watch?v=mTK_TGfpKB0,True
le pen,z7oWzaORnkY,2022-04-10T12:52:08Z,UC_gUM8rL-Lrg6O3adPW9K1g,French Election 2022: Emmanuel Macron &amp; Marine Le Pen emerge as top candidates | WION,The voter turnout in the first phase of French Presidential Elections was 25.5 per cent by Midday which is below the 28.5 per cent ...,WION,https://www.youtube.com/watch?v=z7oWzaORnkY,True
le pen,QU4nxXgZHW4,2022-04-10T12:14:37Z,UCB3e_9sPf7whZA4PfGXrIMQ,"Francia, Marine Le Pen vota e saluta attivisti fuori dal seggio","Hénin Beaumont (Francia), 10 apr. (askanews) - La principale rivale di Emmanuel Macron nella sua corsa per la rielezione alla ...",QuotidianoNazionale,https://www.youtube.com/watch?v=QU4nxXgZHW4,True
le pen,J9WigCqx_TU,2022-04-10T11:00:57Z,UC5_0UPuXT5SAGsbTe2T_PJg,Avrupa&#39;da Aşırı Sağ Neden Yükseliyor? Marine Le Pen&#39;in Başarısı,Bugün 10 Nisan 2022. Fransa cumhurbaşkanını seçmek üzere seçime gidiyor. 30 sene önce siyasete başlamış Le Pen ilk defa ...,49W,https://www.youtube.com/watch?v=J9WigCqx_TU,True
le pen,ErJzZDeGo0c,2022-04-10T10:30:32Z,UC16niRr50-MSBwiO3YDb3RA,Macron faces Le Pen challenge as polls open in French election first round - BBC News,Voters in France have started casting their ballots in the opening round of a presidential race that could produce an extremely ...,BBC News,https://www.youtube.com/watch?v=ErJzZDeGo0c,True
le pen,Z-KeCrMqnOY,2022-04-10T09:00:11Z,UC7QZIf0dta-XPXsp9Hv4dTw,LE PEN: Cómo la ULTRADERECHISTA ha lavado su IMAGEN hasta DISPUTARLE la PRESIDENCIA a MACRON | RTVE,Francia acude este domingo a las urnas para elegir a su futuro presidente. Las encuestas auguran desde hace semanas un ...,RTVE Noticias,https://www.youtube.com/watch?v=Z-KeCrMqnOY,True
le pen,uEa5cGQxwGY,2022-04-10T08:00:13Z,UC_gUM8rL-Lrg6O3adPW9K1g,"French Election 2022: Phase 1 voting begins in France, Le Pen closes in on incumbent Macron | WION",Polling stations have opened across France for the phase 1 voting of a French presidential election. The second round of voting to ...,WION,https://www.youtube.com/watch?v=uEa5cGQxwGY,True
le pen,DeLDc5yEVwQ,2022-04-10T07:15:02Z,UC_gUM8rL-Lrg6O3adPW9K1g,Emmanuel Macron vs Marine Le Pen: Why is she a controversial figure? | French Elections | WION,"In opinion polls for the French election 2022, Marine Le Pen is closing the gap on Emmanuel Macron, but who is Marine Le Pen?",WION,https://www.youtube.com/watch?v=DeLDc5yEVwQ,True
le pen,tAG89FX1eWY,2022-04-09T23:02:37Z,UCoa-D_VfMkFrCYodrOC9-mA,Macron x Le Pen: eleições na França acontecem neste domingo,"Os franceses vão às urnas neste domingo, no primeiro turno das eleições presidenciais. O crescimento da candidata de extrema ...",Band Jornalismo,https://www.youtube.com/watch?v=tAG89FX1eWY,True
le pen,g_Z5mBldSks,2022-04-09T20:30:02Z,UCZMsvbAhhRblVGXmEXW8TSA,HOCHSPANNUNG IN FRANKREICH: Präsidentschaftswahl - Hat Macron Rechtspopulistin Le Pen unterschätzt?,"In Frankreich beginnt am Sonntag die erste Runde der Präsidentschaftswahl. Ab 8.00 Uhr können die etwa 48,7 Millionen ...",WELT Nachrichtensender,https://www.youtube.com/watch?v=g_Z5mBldSks,True
le pen,xUJ4vWGHNkM,2022-04-09T18:58:23Z,UCWijW6tW0iI5ghsAbWDFtTg,"Eleições na França: Le Pen pode causar hecatombe na Europa, avalia professor",Se inscreva no canal: https://tinyurl.com/inscricaobnfm Entre no nosso site: http://www.bandnewsfm.com.br Twitter: ...,Rádio BandNews FM,https://www.youtube.com/watch?v=xUJ4vWGHNkM,True
le pen,AAL5vGJvsmQ,2022-04-09T13:26:29Z,UCUmEPYxmnyQDeRUcFkslmQw,O caminho de Marine Le Pen,"Candidata da ""União Nacional"" diz que mudou desde as últimas presidenciais LEIA MAIS ...",euronews (em português),https://www.youtube.com/watch?v=AAL5vGJvsmQ,True
le pen,kQL8o1qz0SA,2022-04-09T11:46:15Z,UCP391YRAjSOdM_bwievgaZA,Pesquisas indicam disputa acirrada entre Macron e Le Pen na França,"Os eleitores da França vão votar no domingo (10) no primeiro turno das eleições presidenciais. De acordo com as pesquisas, ...",Jovem Pan News,https://www.youtube.com/watch?v=kQL8o1qz0SA,True
le pen,UAGqu8aH_Cg,2022-04-08T21:30:04Z,UC0p5jTq6Xx_DosDFxVXnWaQ,Why the French are fed up (and what it means for Macron) | The Economist,"The French are miserable. Normally this means defeat for sitting presidents, but Macron is still just about leading in the polls.",The Economist,https://www.youtube.com/watch?v=UAGqu8aH_Cg,True
le pen,qF-G3_c5kIc,2022-04-08T21:20:26Z,UChqUTb7kYRX8-EiaN3XFrSQ,Macron calls candidate Le Pen &#39;racist&#39; as election nears,Emmanuel Macron accused Marine Le Pen of lying to voters about her 'racist' platform as the French president's forecast lead ...,Reuters,https://www.youtube.com/watch?v=qF-G3_c5kIc,True
le pen,niajDtJmASs,2022-04-08T21:07:15Z,UCTa1bPArjpvNMgSHAb_pflA,"Le match Macron/Le Pen, la surprise Mélenchon, LR … Et Maintenant 2022! (8/04/2022)","Sur le plateau d'Et Maintenant 2022, cette semaine au programme de notre carnet de campagne, à deux jours du premier tour de ...",Public Sénat,https://www.youtube.com/watch?v=niajDtJmASs,True
le pen,FnvydUyPidM,2022-04-08T20:51:35Z,UCk-_PEY3iC6DIGJKuoEe9bw,"Allo Mélenchon #5 : SMIC, retraite, sans-abri, animaux, Le Pen, Macron","Le vendredi 8 avril 2022, Jean-Luc Mélenchon participait pour le dernier jour de la campagne officielle du premier tour de ...",JEAN-LUC MÉLENCHON,https://www.youtube.com/watch?v=FnvydUyPidM,True
le pen,LG8d1eVobCU,2022-04-08T19:45:00Z,UCpOAcjJNAp0Y0fhznRrXIJQ,Macron vs. Le Pen: Las claves para entender la apretada carrera presidencial en Francia,"En un nuevo capítulo de Última Mirada, el analista internacional Raúl Sohr explicó el escenario francés ante los próximos ...",CNN Chile,https://www.youtube.com/watch?v=LG8d1eVobCU,True
le pen,fOOyFHcsjKU,2022-04-08T19:37:54Z,UC7QZIf0dta-XPXsp9Hv4dTw,ELECCIONES FRANCIA: La ULTRADERECHISTA LE PEN a sólo 3&#39;5 puntos de MACRON | RTVE Noticias,"Este domingo, 10 de abril, Francia acude a las urnas para elegir a su futuro presidente. Las encuestas para la primera vuelta ...",RTVE Noticias,https://www.youtube.com/watch?v=fOOyFHcsjKU,True
le pen,I4Ih8sX1cYI,2022-04-08T19:00:10Z,UCnsvJeZO4RigQ898WdDNoBw,"Videoanálisis | Las claves de las elecciones francesas, ¿podría ganar Le Pen?",La primera vuelta de las elecciones presidenciales de Francia de este domingo mantienen un panorama de incertidumbre con el ...,El País,https://www.youtube.com/watch?v=I4Ih8sX1cYI,True
le pen,dbPSz3FCbv4,2022-04-08T17:33:09Z,UC9XtmpcPIr-Zv-2S427YffQ,Oko Magazin: Može li Marin Le Pen da razbije proročanstvo Mišela Uelbeka?,Label and copyright: RTS Zabranjeno svako kopiranje video i/ili audio snimaka i postavljanje na druge kanale!,RTS Oko - Zvanični kanal,https://www.youtube.com/watch?v=dbPSz3FCbv4,True
le pen,8SBVCFE99-k,2022-04-08T17:10:33Z,UCewhc0fvja891XkpIPGRMxQ,Macron est &quot;très agressif&quot; - Marine Le Pen,Pour toute l'actualité TF1 et LCI en direct : https://www.tf1info.fr/direct/ ▻ Abonnez-vous à la chaîne : http://bit.ly/AbonnementLCI.,LCI,https://www.youtube.com/watch?v=8SBVCFE99-k,True
le pen,dUbIhQWLu_M,2022-04-08T17:00:31Z,UC16niRr50-MSBwiO3YDb3RA,French election: Far-right Le Pen closes in on Macron - BBC Newsnight,President Macron's lead in the polls has shrunk as Sunday's first-round of voting approaches. Please subscribe HERE ...,BBC News,https://www.youtube.com/watch?v=dUbIhQWLu_M,True
le pen,r8gbs71Zz3Q,2022-04-08T17:00:34Z,UCT67YOMntJxfRnO_9bXDpvw,MACRON-MÉLENCHON-LE PEN : LA GUERRE DES PUNCHLINES,"LE MEDIA POURRAIT DISPARAITRE ! Votre média, ses salariés et ses programmes, sont en danger ! Le Média ne survivra que ...",Le Média,https://www.youtube.com/watch?v=r8gbs71Zz3Q,True
le pen,itOIxBiuSCQ,2022-04-08T15:23:24Z,UCwd8Byi93KbnsYmCcKLExvQ,Elecciones Francia: “Sería muy difícil que Le Pen lograse una desconexión de Europa si gana”,"Analizamos cómo se están desarrollando las campañas de las elecciones en Francia con Bethlem Boronat, profesora de EAE ...",Negocios TV,https://www.youtube.com/watch?v=itOIxBiuSCQ,True
le pen,L1OgOrOxyXo,2022-04-08T15:00:12Z,UC7QZIf0dta-XPXsp9Hv4dTw,"ELECCIONES FRANCIA: MACRON o LE PEN, ¿Quién es el FAVORITO? ¿Qué influirá en el VOTO?  | RTVE","Nunca como ahora el tabú había parecido tan cerca de romperse. La extrema derecha de Francia, aunque dividida, acaricia su ...",RTVE Noticias,https://www.youtube.com/watch?v=L1OgOrOxyXo,True
le pen,T6l_iIHyZsE,2022-04-08T15:00:27Z,UCeqKIgPQfNInOswGRWt48kQ,Von Macron bis Le Pen: Wahlkampf im gereizten Frankreich I auslandsjournal,Frankreich wählt einen neuen Präsidenten - oder eine Präsidentin? Rechts von Emmanuel Macron haben sich gleich drei ...,ZDFheute Nachrichten,https://www.youtube.com/watch?v=T6l_iIHyZsE,True
le pen,uNjULoWnh-I,2022-04-08T14:56:01Z,UCnIWNujSpiiuH29-TBCz9aw,Un vote caché pour ZEMMOUR ? Enfin la victoire de Marine Le Pen ? FAQ avec la rédaction de VA !,"Support the stream: https://streamlabs.com/vaplusmedia Un vote caché d'Eric Zemmour, Marine Le Pen qui ne s'arrête plus de ...",VA Plus,https://www.youtube.com/watch?v=uNjULoWnh-I,True
le pen,5mJddWj6vT8,2022-04-08T14:56:54Z,UC_yXEx3-Gk5drg9qhPzSQSg,Marine Le Pen i pokušaj političkog šoka u Francuskoj,U Francuskoj se spremaju za izbore. Predsjednička kandidatkinja Marine Le Pen održala je posljednji skup uoči izbora zakazanih ...,Al Jazeera Balkans,https://www.youtube.com/watch?v=5mJddWj6vT8,True
le pen,4Lbt0xWTCS4,2022-04-08T13:46:25Z,UC_YnP7DDnKzkkVl3BaHiZoQ,Frankreich: Rechtsextreme Präsidentschaftskandidatin Marine Le Pen fordert &quot;Ende der Ära Macron&quot;,Am 10. April ist Präsidentschaftswahl in Frankreich. Nach Umfragen liegt Amtsinhaber Emmanuel Macron nur leicht vor.,ZEIT ONLINE,https://www.youtube.com/watch?v=4Lbt0xWTCS4,True
le pen,7gHbqhUiX5A,2022-04-08T12:00:04Z,UC16niRr50-MSBwiO3YDb3RA,Far-right Le Pen challenges Macron for French presidency - BBC News,"""Nothing is impossible,"" President Emmanuel Macron has warned, as polls suggest his far-right rival Marine Le Pen is closer than ...",BBC News,https://www.youtube.com/watch?v=7gHbqhUiX5A,True
le pen,Sg0u1v1TeUg,2022-04-08T10:26:02Z,UCNye-wNBqNL5ZzHSJj3l8Bg,France election: Marine Le Pen holds final rally before vote,French far-right presidential candidate Marine Le Pen has held her final campaign rally before the election on Sunday.,Al Jazeera English,https://www.youtube.com/watch?v=Sg0u1v1TeUg,True
le pen,jfzHPS4q3HI,2022-04-08T10:22:30Z,UCewhc0fvja891XkpIPGRMxQ,"Second tour : Macron et Le Pen en tête, Mélenchon en embuscade",Pour toute l'actualité TF1 et LCI en direct : https://www.tf1info.fr/direct/ ▻ Abonnez-vous à la chaîne : http://bit.ly/AbonnementLCI.,LCI,https://www.youtube.com/watch?v=jfzHPS4q3HI,True
le pen,I4XW4JHugnw,2022-04-08T10:20:12Z,UC9GGzAhhvhJO1hL10-BcgNA,On a parlé de Jean-Luc Mélenchon au meeting de Marine Le Pen,"POLITIQUE - La dernière ligne droite. Jeudi 7 avril, Marine Le Pen a tenu son dernier meeting avant le premier tour de la ...",LeHuffPost,https://www.youtube.com/watch?v=I4XW4JHugnw,True
le pen,gSRGTYDqXy4,2022-04-08T09:55:11Z,UCO0akufu9MOzyz3nvGIXAAw,Le Pen is ‘grabbing the world’s attention’ ahead of French presidential election,Recastled CEO Kosha Gada says French presidential candidate Marine Le Pen is “grabbing the world's attention” once more ...,Sky News Australia,https://www.youtube.com/watch?v=gSRGTYDqXy4,True
